Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
selenium_customer_login,234,839,846,879,891,1055,523,1772,0.0,False
selenium_customer_create_request:browse_all_portals,234,647,665,688,696,723,129,727,0.0,False
selenium_agent_login:login_and_view_dashboard,142,765,754,818,849,964,674,1455,0.0,False
selenium_agent_login,142,959,940,1020,1037,1161,855,2509,0.0,False
selenium_customer_create_request:view_portal,234,214,218,244,255,285,145,322,0.0,False
selenium_agent_browse_projects,142,326,322,347,355,388,300,435,0.0,False
selenium_customer_create_request:choose_request_type,234,729,726,776,800,840,562,1013,0.0,False
selenium_customer_create_request:create_and_submit_request,234,352,263,626,634,955,200,1142,0.0,False
selenium_customer_create_request,234,1944,1897,2256,2302,2499,1228,2548,0.0,False
selenium_agent_view_customers,142,833,825,872,879,896,788,1278,0.0,False
selenium_customer_view_request,234,371,259,743,904,1268,200,1616,0.0,False
selenium_customer_view_requests,234,558,552,609,621,663,468,697,0.0,False
selenium_agent_view_request,142,741,725,834,861,906,589,1571,0.0,False
selenium_customer_view_all_requests,234,539,532,589,624,670,463,734,0.0,False
selenium_agent_view_report_workload_medium,142,1509,1358,1969,2444,2551,1279,3110,0.0,False
selenium_agent_view_report_created_vs_resolved_medium,142,813,799,848,932,967,772,1039,0.0,False
selenium_customer_share_request_with_customer:search_for_customer_to_share_with,234,2621,2642,2683,2695,2723,6,2728,0.0,False
selenium_agent_view_report_workload_small,142,2172,2298,2783,3316,5767,784,8425,0.0,False
selenium_customer_share_request:share_request_with_customer,234,1933,1593,2137,2623,3138,1582,20352,1.0,False
selenium_customer_share_request_with_customer,234,4555,4241,4830,5310,5845,4167,20361,1.0,False
selenium_agent_view_report_created_vs_resolved_small,142,822,799,898,911,936,757,1214,0.0,False
selenium_agent_add_comment:add comment,142,606,612,659,675,718,484,752,0.0,False
selenium_agent_add_comment,142,1296,1290,1368,1394,1435,1192,1694,0.0,False
selenium_customer_add_comment,234,1723,1592,2103,2295,2681,1459,2826,0.0,False
selenium_customer_log_out,234,613,610,771,782,810,249,837,0.0,False
selenium_agent_view_queues_large_project_:all_open_queue,142,1838,1757,2088,2136,2329,1536,2544,0.0,False
selenium_agent_view_queues_large_project:random_choice_queue,142,308,306,362,375,415,202,430,0.0,False
selenium_agent_view_queues_large_project,142,2147,2140,2412,2447,2618,1742,2897,0.0,False
selenium_agent_view_queues_small_project_:all_open_queue,142,1940,1968,2242,2264,2346,1182,2478,0.0,False
selenium_agent_view_queues_small_project:random_choice_queue,142,322,319,390,401,452,194,502,0.0,False
selenium_agent_view_queues_small_project,142,2262,2287,2544,2603,2732,1584,2791,0.0,False
load_aws_project,142,1380,1404,1714,1746,1785,849,1995,0.0,True
select_aws_opsitem_issue_type,142,309,144,1210,1217,1231,105,1251,0.0,True
set_aws_opsitem_summary,142,69,67,76,80,91,61,95,0.0,True
set_aws_opsitem_description,142,133,132,147,150,153,117,156,0.0,True
submit_aws_opsitem,142,670,642,694,747,1117,587,1127,0.0,True
load_aws_create_issue_modal,142,1912,1747,2726,2789,2837,1570,2878,0.0,True
selenium_aws_opsitem,142,3327,3220,4010,4248,4578,2436,4609,0.0,True
selenium_agent_logout,142,568,566,618,632,668,460,676,0.0,False
